akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.162593 mmap(NULL, 778192, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a173000 <0.000010>
49726 09:09:44.162619 mmap(0x7f188a18a000, 438272, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x17000) = 0x7f188a18a000 <0.000011>
49726 09:09:44.162645 mmap(0x7f188a1f5000, 212992, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x82000) = 0x7f188a1f5000 <0.000010>
49726 09:09:44.162671 mmap(0x7f188a229000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xb6000) = 0x7f188a229000 <0.000010>
49726 09:09:44.162700 mmap(0x7f188a22d000, 16336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f188a22d000 <0.000009>
49726 09:09:44.162810 mmap(NULL, 1402528, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a01c000 <0.000009>
49726 09:09:44.162835 mmap(0x7f188a020000, 380928, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4000) = 0x7f188a020000 <0.000011>
49726 09:09:44.162862 mmap(0x7f188a07d000, 192512, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x61000) = 0x7f188a07d000 <0.000010>
49726 09:09:44.162888 mmap(0x7f188a0ac000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x8f000) = 0x7f188a0ac000 <0.000011>
49726 09:09:44.162916 mmap(0x7f188a0ae000, 804512, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f188a0ae000 <0.000009>
49726 09:09:44.163021 mmap(NULL, 1930136, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889e44000 <0.000010>
49726 09:09:44.163047 mmap(0x7f1889e7c000, 1114112, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x38000) = 0x7f1889e7c000 <0.000011>
49726 09:09:44.163074 mmap(0x7f1889f8c000, 544768, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x148000) = 0x7f1889f8c000 <0.000010>
49726 09:09:44.163100 mmap(0x7f188a011000, 36864, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1cc000) = 0x7f188a011000 <0.000010>
49726 09:09:44.163129 mmap(0x7f188a01a000, 5016, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f188a01a000 <0.000009>
49726 09:09:44.163249 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f1889e42000 <0.000010>
49726 09:09:44.163286 mmap(NULL, 392240, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889de2000 <0.000011>
49726 09:09:44.163315 mmap(0x7f1889df1000, 208896, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xf000) = 0x7f1889df1000 <0.000012>
49726 09:09:44.163345 mmap(0x7f1889e24000, 106496, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x42000) = 0x7f1889e24000 <0.000010>
49726 09:09:44.163370 mmap(0x7f1889e3e000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5b000) = 0x7f1889e3e000 <0.000010>
49726 09:09:44.163482 mmap(NULL, 1282776, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889ca8000 <0.000010>
49726 09:09:44.163509 mprotect(0x7f1889cc5000, 1155072, PROT_NONE) = 0 <0.000010>
49726 09:09:44.163535 mmap(0x7f1889cc5000, 585728, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1d000) = 0x7f1889cc5000 <0.000011>
49726 09:09:44.163562 mmap(0x7f1889d54000, 565248, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xac000) = 0x7f1889d54000 <0.000010>
49726 09:09:44.163587 mmap(0x7f1889ddf000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x136000) = 0x7f1889ddf000 <0.000010>
49726 09:09:44.163616 mmap(0x7f1889de1000, 728, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f1889de1000 <0.000010>
49726 09:09:44.163726 mmap(NULL, 524976, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889c27000 <0.000010>
49726 09:09:44.163752 mmap(0x7f1889c2b000, 299008, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4000) = 0x7f1889c2b000 <0.000011>
49726 09:09:44.163779 mmap(0x7f1889c74000, 204800, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4d000) = 0x7f1889c74000 <0.000010>
49726 09:09:44.163805 mmap(0x7f1889ca6000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x7e000) = 0x7f1889ca6000 <0.000009>
49726 09:09:44.163986 mmap(NULL, 2260560, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18899ff000 <0.000011>
49726 09:09:44.164014 mmap(0x7f1889a27000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x28000) = 0x7f1889a27000 <0.000013>
49726 09:09:44.164044 mmap(0x7f1889bbc000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1bd000) = 0x7f1889bbc000 <0.000010>
49726 09:09:44.164069 mmap(0x7f1889c14000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x214000) = 0x7f1889c14000 <0.000012>
49726 09:09:44.164099 mmap(0x7f1889c1a000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f1889c1a000 <0.000009>
49726 09:09:44.164211 mmap(NULL, 24656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18899f8000 <0.000010>
